value	name		color
1 		As			Coeur
2 		Deux		Coeur
3 		Trois		Coeur
4 		Quatre		Coeur
5 		Cinq		Coeur
6		Six			Coeur
7		Sept		Coeur
8		Huit		Coeur
9		Neuf		Coeur
10		Dix			Coeur
11		Valet		Coeur
12		Dame		Coeur
13		Roi			Coeur
1 		As			Carreau
2 		Deux		Carreau
3 		Trois		Carreau
4 		Quatre		Carreau
5 		Cinq		Carreau
6		Six			Carreau
7		Sept		Carreau
8		Huit		Carreau
9		Neuf		Carreau
10		Dix			Carreau
11		Valet		Carreau
12		Dame		Carreau
13		Roi			Carreau
1 		As			Pique
2 		Deux		Pique
3 		Trois		Pique
4 		Quatre		Pique
5 		Cinq		Pique
6		Six			Pique
7		Sept		Pique
8		Huit		Pique
9		Neuf		Pique
10		Dix			Pique
11		Valet		Pique
12		Dame		Pique
13		Roi			Pique
1 		As			Trèfle
2 		Deux		Trèfle
3 		Trois		Trèfle
4 		Quatre		Trèfle
5 		Cinq		Trèfle
6		Six			Trèfle
7		Sept		Trèfle
8		Huit		Trèfle
9		Neuf		Trèfle
10		Dix			Trèfle
11		Valet		Trèfle
12		Dame		Trèfle
13		Roi			Trèfle
